MAXIMO;AXIOMA
maxadmin;axadmin
tivoli;axioma
BMXAA;AX10
BMXAB;AX11
BMXAC;AX12
BMXAD;AX13
BMXAE;AX14
BMXZZ;AX00
BMXAI;AX20
BMXAF;AX2M
BMXAG;AX21
BMXAH;AX22
BMXAR;AX2C
BMXAK;AX2N
mxe;axe
MX;AX
MAXUPG;AXIOLDVERS
MXJMS;AXJMS
MAXAUTHTOKEN;AXIAUTHTOKEN
MAXITEMS;AXIITEMS
MAXAUTH;AXIAUTH
COLUMNNOTMAXCOLUMN;COLUMNNOTAXICOLUMN
MAXINDEX;AXINDX
MAXATTRIBCFG;AXIATTRIBCFG
MAXCONTROLVALU;AXICONTROLVALU
MAXDYNAMICDOM;AXIDYNAMICDOM
MAXENDPOIDES;AXIENDPOIDES
MAXEXTSYS;AXIEXTSYS
MAXIFACE;AXIIFACE
MAXINTERACTIO;AXIINTERACTIO
MAXINTLISTENE;AXIINTLISTENE
MAXINTOBJ;AXIINTOBJ
MAXLAUNCHENTR;AXILAUNCHENTR
MAXLICCONCITV;AXILICCONCITV
MAXLOGAPPDR;AXILOGAPPDR
MAXLOGMSGTOOLB;AXILOGMSGTOOLB
MAXEVERYONE;AXIEVERYONE
MAXDEFLTREG;AXIDEFLTREG
MAXREG;AXIREG
MAXMESSAGE;AXIMESSAGE
MAXVAR;AXIVAR
MAXDEMO;AXIDEMO